Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HiUpTestSuite,,,2018-07-02 10:46:39,2018-07-02 10:47:35,56.358s,PASSED
,,,,,,
Test Cases/HiUP_LoginTest,,,2018-07-02 10:46:39,2018-07-02 10:47:34,54.814s,PASSED
Statement - Try,,,2018-07-02 10:46:40,2018-07-02 10:47:34,54.327s,FAILED
Statement - Catch (Exception e),,,2018-07-02 10:47:34,2018-07-02 10:47:34,0.055s,PASSED
,,,,,,
Test Cases/JobFeedTest,,,2018-07-02 10:47:34,2018-07-02 10:47:35,0.652s,PASSED
Statement - Try,,,2018-07-02 10:47:35,2018-07-02 10:47:35,0.110s,PASSED
Statement - Catch (Exception e),,,2018-07-02 10:47:35,2018-07-02 10:47:35,0.006s,PASSED
