Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonSuite,Firefox 61.0,,2018-07-05 10:08:59,2018-07-05 10:09:45,45.995s,FAILED
,,,,,,
Test Cases/WebRegressionTest,Firefox 61.0,,2018-07-05 10:09:00,2018-07-05 10:09:45,45.283s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-07-05 10:09:00,2018-07-05 10:09:09,8.560s,PASSED
"Statement - For ([i = 1, i <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(user_details).getRowNumbers(), (i++)])",Firefox 61.0,,2018-07-05 10:09:09,2018-07-05 10:09:10,1.235s,PASSED
setText,Firefox 61.0,,2018-07-05 10:09:10,2018-07-05 10:09:10,0.187s,PASSED
setText,Firefox 61.0,,2018-07-05 10:09:10,2018-07-05 10:09:15,4.174s,PASSED
setText,Firefox 61.0,,2018-07-05 10:09:15,2018-07-05 10:09:45,30.511s,FAILED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-07-05 10:09:45,2018-07-05 10:09:45,0.327s,PASSED
