Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HiUpTestSuite,,,2018-06-29 12:17:28,2018-06-29 12:18:26,57.636s,PASSED
,,,,,,
Test Cases/HiUP_LoginTest,,,2018-06-29 12:17:29,2018-06-29 12:18:24,55.732s,PASSED
Statement - Try,,,2018-06-29 12:17:29,2018-06-29 12:18:24,54.661s,FAILED
Statement - Catch (Exception e),,,2018-06-29 12:18:24,2018-06-29 12:18:24,0.482s,PASSED
,,,,,,
Test Cases/JobFeedTest,,,2018-06-29 12:18:24,2018-06-29 12:18:25,0.625s,PASSED
Statement - Try,,,2018-06-29 12:18:25,2018-06-29 12:18:25,0.155s,PASSED
Statement - Catch (Exception e),,,2018-06-29 12:18:25,2018-06-29 12:18:25,0.004s,PASSED
