Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HiUpTestSuite,,,2018-07-03 12:12:19,2018-07-03 12:13:16,56.823s,PASSED
,,,,,,
Test Cases/HiUP_LoginTest,,,2018-07-03 12:12:20,2018-07-03 12:13:15,54.673s,PASSED
Statement - Try,,,2018-07-03 12:12:20,2018-07-03 12:13:15,54.255s,FAILED
Statement - Catch (Exception e),,,2018-07-03 12:13:15,2018-07-03 12:13:15,0.042s,PASSED
,,,,,,
Test Cases/WalletTest,,,2018-07-03 12:13:15,2018-07-03 12:13:15,0.372s,PASSED
Statement - Try,,,2018-07-03 12:13:15,2018-07-03 12:13:15,0.102s,PASSED
Statement - Catch (Exception e),,,2018-07-03 12:13:15,2018-07-03 12:13:15,0.011s,PASSED
,,,,,,
Test Cases/SettingsAndMoreTest,,,2018-07-03 12:13:15,2018-07-03 12:13:15,0.286s,PASSED
Statement - Try,,,2018-07-03 12:13:15,2018-07-03 12:13:15,0.037s,PASSED
Statement - Catch (Exception e),,,2018-07-03 12:13:15,2018-07-03 12:13:15,0.024s,PASSED
