Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HiUpTestSuite,,,2018-07-03 14:38:56,2018-07-03 14:40:59,2m - 3.018s,PASSED
,,,,,,
Test Cases/HiUP_LoginTest,,,2018-07-03 14:38:56,2018-07-03 14:40:34,1m - 38.077s,PASSED
Statement - Try,,,2018-07-03 14:38:57,2018-07-03 14:40:34,1m - 37.391s,PASSED
,,,,,,
Test Cases/TrainingTest,,,2018-07-03 14:40:34,2018-07-03 14:40:56,22.040s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,,2018-07-03 14:40:35,2018-07-03 14:40:35,0.003s,PASSED
Statement - Try,,,2018-07-03 14:40:35,2018-07-03 14:40:56,21.491s,PASSED
Statement - Catch (Exception e),,,2018-07-03 14:40:56,2018-07-03 14:40:56,0.013s,PASSED
