Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HiUpTestSuite,,,2018-07-02 14:59:04,2018-07-02 15:01:05,2m - 0.940s,PASSED
,,,,,,
Test Cases/HiUP_LoginTest,,,2018-07-02 14:59:05,2018-07-02 15:00:37,1m - 32.380s,PASSED
Statement - Try,,,2018-07-02 14:59:05,2018-07-02 15:00:37,1m - 31.769s,PASSED
,,,,,,
Test Cases/TrainingTest,,,2018-07-02 15:00:37,2018-07-02 15:00:51,13.749s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,,2018-07-02 15:00:38,2018-07-02 15:00:38,0.011s,PASSED
Statement - Try,,,2018-07-02 15:00:38,2018-07-02 15:00:51,13.068s,PASSED
Statement - Catch (Exception e),,,2018-07-02 15:00:51,2018-07-02 15:00:51,0.046s,PASSED
,,,,,,
Test Cases/TraningMycourseTest,,,2018-07-02 15:00:51,2018-07-02 15:01:03,12.119s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,,2018-07-02 15:00:51,2018-07-02 15:00:51,0.010s,PASSED
Statement - Try,,,2018-07-02 15:00:51,2018-07-02 15:01:03,11.755s,PASSED
Statement - Catch (Exception e),,,2018-07-02 15:01:03,2018-07-02 15:01:03,0.009s,PASSED
