Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonSuite,Firefox 61.0,,2018-07-05 09:56:17,2018-07-05 09:56:49,31.746s,PASSED
,,,,,,
Test Cases/WebRegressionTest,Firefox 61.0,,2018-07-05 09:56:19,2018-07-05 09:56:49,30.518s,PASSED
"Statement - For ([i = 1, i <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(user_details).getRowNumbers(), (i++)])",Firefox 61.0,,2018-07-05 09:56:19,2018-07-05 09:56:31,11.584s,PASSED
setText,Firefox 61.0,,2018-07-05 09:56:31,2018-07-05 09:56:31,0.193s,PASSED
setText,Firefox 61.0,,2018-07-05 09:56:31,2018-07-05 09:56:45,13.860s,PASSED
setText,Firefox 61.0,,2018-07-05 09:56:45,2018-07-05 09:56:45,0.074s,PASSED
setText,Firefox 61.0,,2018-07-05 09:56:45,2018-07-05 09:56:49,4.050s,PASSED
