Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HiUpTestSuite,,,2018-07-02 17:40:15,2018-07-02 17:44:05,3m - 50.081s,PASSED
,,,,,,
Test Cases/HiUP_LoginTest,,,2018-07-02 17:40:16,2018-07-02 17:42:25,2m - 9.593s,PASSED
Statement - Try,,,2018-07-02 17:40:16,2018-07-02 17:42:25,2m - 9.032s,PASSED
,,,,,,
Test Cases/JobFeedTest,,,2018-07-02 17:42:25,2018-07-02 17:44:03,1m - 37.695s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,,2018-07-02 17:42:26,2018-07-02 17:42:26,0.001s,PASSED
Statement - Try,,,2018-07-02 17:42:26,2018-07-02 17:44:03,1m - 37.223s,PASSED
Statement - Catch (Exception e),,,2018-07-02 17:44:03,2018-07-02 17:44:03,0.010s,PASSED
