Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HiUpTestSuite,,,2018-07-03 10:03:26,2018-07-03 10:06:03,2m - 36.628s,PASSED
,,,,,,
Test Cases/HiUP_LoginTest,,,2018-07-03 10:03:27,2018-07-03 10:05:20,1m - 52.846s,PASSED
Statement - Try,,,2018-07-03 10:03:27,2018-07-03 10:05:20,1m - 52.474s,PASSED
,,,,,,
Test Cases/JobSettingTest,,,2018-07-03 10:05:20,2018-07-03 10:06:01,40.921s,PASSED
Statement - Try,,,2018-07-03 10:05:20,2018-07-03 10:05:38,17.496s,PASSED
Statement - Catch (Exception e),,,2018-07-03 10:05:38,2018-07-03 10:05:38,0.028s,PASSED
Statement - Try,,,2018-07-03 10:05:38,2018-07-03 10:05:45,7.268s,PASSED
Statement - Catch (Exception e),,,2018-07-03 10:05:45,2018-07-03 10:05:45,0.008s,PASSED
Statement - Try,,,2018-07-03 10:05:45,2018-07-03 10:06:01,15.842s,PASSED
Statement - Catch (Exception e),,,2018-07-03 10:06:01,2018-07-03 10:06:01,0.008s,PASSED
