Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HiUpTestSuite,,,2018-07-03 16:42:21,2018-07-03 16:45:08,2m - 47.673s,PASSED
,,,,,,
Test Cases/HiUP_LoginTest,,,2018-07-03 16:42:21,2018-07-03 16:43:54,1m - 32.767s,PASSED
Statement - Try,,,2018-07-03 16:42:22,2018-07-03 16:43:54,1m - 32.232s,PASSED
,,,,,,
Test Cases/TrainingTest,,,2018-07-03 16:43:54,2018-07-03 16:45:06,1m - 12.080s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,,2018-07-03 16:43:54,2018-07-03 16:43:54,0.000s,PASSED
Statement - Try,,,2018-07-03 16:43:54,2018-07-03 16:45:06,1m - 11.596s,FAILED
Statement - Catch (Exception e),,,2018-07-03 16:45:06,2018-07-03 16:45:06,0.010s,PASSED
