Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HiUpTestSuite,,,2018-08-01 11:06:20,2018-08-01 11:07:38,1m - 17.590s,PASSED
,,,,,,
Test Cases/HiUP_LoginTest,,,2018-08-01 11:06:21,2018-08-01 11:07:33,1m - 11.861s,PASSED
Statement - Try,,,2018-08-01 11:06:22,2018-08-01 11:07:33,1m - 11.181s,FAILED
Statement - Catch (Exception e),,,2018-08-01 11:07:33,2018-08-01 11:07:33,0.092s,PASSED
,,,,,,
Test Cases/JobFeedTest,,,2018-08-01 11:07:33,2018-08-01 11:07:36,2.601s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,,2018-08-01 11:07:34,2018-08-01 11:07:34,0.006s,PASSED
Statement - Try,,,2018-08-01 11:07:34,2018-08-01 11:07:36,1.891s,FAILED
Statement - Catch (Exception e),,,2018-08-01 11:07:36,2018-08-01 11:07:36,0.008s,PASSED
