Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HiUpTestSuite,,,2018-06-29 17:42:14,2018-06-29 17:45:03,2m - 49.856s,FAILED
,,,,,,
Test Cases/HiUP_LoginTest,,,2018-06-29 17:42:14,2018-06-29 17:43:49,1m - 34.547s,PASSED
Statement - Try,,,2018-06-29 17:42:14,2018-06-29 17:43:49,1m - 34.094s,PASSED
,,,,,,
Test Cases/LogOutTest,,,2018-06-29 17:43:49,2018-06-29 17:44:17,27.920s,FAILED
tap,,,2018-06-29 17:43:49,2018-06-29 17:43:51,1.822s,PASSED
tap,,,2018-06-29 17:43:51,2018-06-29 17:43:53,2.144s,PASSED
tap,,,2018-06-29 17:43:53,2018-06-29 17:43:55,2.514s,PASSED
tap,,,2018-06-29 17:43:55,2018-06-29 17:43:57,1.311s,PASSED
tap,,,2018-06-29 17:43:57,2018-06-29 17:43:59,2.707s,PASSED
Statement - java.lang.Thread.sleep(5000),,,2018-06-29 17:43:59,2018-06-29 17:44:04,5.001s,PASSED
"Statement - If (com.kms.katalon.core.mobile.keyword.MobileBuiltInKeywords.verifyElementExist(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(android.widget.TextView3 - Jobs), 10))",,,2018-06-29 17:44:04,2018-06-29 17:44:17,12.157s,FAILED
,,,,,,
Test Cases/ForgetPasswordTest,,,2018-06-29 17:44:17,2018-06-29 17:45:01,44.334s,FAILED
tap,,,2018-06-29 17:44:17,2018-06-29 17:44:19,1.928s,PASSED
tap,,,2018-06-29 17:44:19,2018-06-29 17:44:24,5.350s,PASSED
tap,,,2018-06-29 17:44:24,2018-06-29 17:44:28,3.578s,PASSED
tap,,,2018-06-29 17:44:28,2018-06-29 17:44:29,1.311s,PASSED
tap,,,2018-06-29 17:44:29,2018-06-29 17:45:01,31.912s,FAILED
