Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HiUpTestSuite,,,2018-08-01 11:42:30,2018-08-01 11:45:39,3m - 8.685s,PASSED
,,,,,,
Test Cases/HiUP_LoginTest,,,2018-08-01 11:42:31,2018-08-01 11:44:02,1m - 30.995s,PASSED
Statement - Try,,,2018-08-01 11:42:31,2018-08-01 11:44:02,1m - 30.433s,PASSED
,,,,,,
Test Cases/JobFeedTest,,,2018-08-01 11:44:02,2018-08-01 11:45:36,1m - 34.941s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,,2018-08-01 11:44:02,2018-08-01 11:44:02,0.008s,PASSED
Statement - Try,,,2018-08-01 11:44:02,2018-08-01 11:45:14,1m - 12.054s,PASSED
Statement - width = com.kms.katalon.core.mobile.keyword.MobileBuiltInKeywords.getDeviceWidth(),,,2018-08-01 11:45:14,2018-08-01 11:45:14,0.382s,PASSED
Statement - startX = width / 2,,,2018-08-01 11:45:14,2018-08-01 11:45:14,0.001s,PASSED
Statement - endX = startX,,,2018-08-01 11:45:14,2018-08-01 11:45:14,0.000s,PASSED
Statement - startY = width * 0.25,,,2018-08-01 11:45:14,2018-08-01 11:45:14,0.002s,PASSED
Statement - endY = width * 0.75,,,2018-08-01 11:45:14,2018-08-01 11:45:14,0.000s,PASSED
swipe,,,2018-08-01 11:45:14,2018-08-01 11:45:17,2.451s,PASSED
Statement - java.lang.Thread.sleep(2000),,,2018-08-01 11:45:17,2018-08-01 11:45:36,19.568s,PASSED
