Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HiUpTestSuite,,,2018-07-02 17:54:10,2018-07-02 17:57:00,2m - 49.197s,PASSED
,,,,,,
Test Cases/HiUP_LoginTest,,,2018-07-02 17:54:11,2018-07-02 17:55:42,1m - 31.148s,PASSED
Statement - Try,,,2018-07-02 17:54:12,2018-07-02 17:55:42,1m - 30.442s,PASSED
,,,,,,
Test Cases/JobFeedTest,,,2018-07-02 17:55:42,2018-07-02 17:56:58,1m - 15.377s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,,2018-07-02 17:55:43,2018-07-02 17:55:43,0.004s,PASSED
Statement - Try,,,2018-07-02 17:55:43,2018-07-02 17:56:58,1m - 14.854s,PASSED
Statement - Catch (Exception e),,,2018-07-02 17:56:58,2018-07-02 17:56:58,0.013s,PASSED
